Subject: 1_1
Session: 1
Group: 1
Time: 9.976430177688599
# Consecuences: 0
Distance: 0.0cm
Velocity: 0.0cm/seg
Mean Aceleration: 0.0m/seg

Frame;Time;X;Y;Aceleration;Distance;Consecuences
143;6.741;0.0;0.0;0.0;0.0;0
144;6.789;0.0;0.0;0.0;0.0;0
145;6.835;0.0;0.0;0.0;0.0;0
146;6.883;0.0;0.0;0.0;0.0;0
147;6.929;0.0;0.0;0.0;0.0;0
148;6.976;0.0;0.0;0.0;0.0;0
149;7.022;0.0;0.0;0.0;0.0;0
150;7.07;0.0;0.0;0.0;0.0;0
151;7.117;0.0;0.0;0.0;0.0;0
152;7.164;0.0;0.0;0.0;0.0;0
153;7.211;0.0;0.0;0.0;0.0;0
154;7.258;0.0;0.0;0.0;0.0;0
155;7.304;0.0;0.0;0.0;0.0;0
156;7.351;0.0;0.0;0.0;0.0;0
157;7.397;0.0;0.0;0.0;0.0;0
158;7.445;0.0;0.0;0.0;0.0;0
159;7.491;0.0;0.0;0.0;0.0;0
160;7.538;0.0;0.0;0.0;0.0;0
161;7.585;0.0;0.0;0.0;0.0;0
162;7.633;0.0;0.0;0.0;0.0;0
163;7.679;0.0;0.0;0.0;0.0;0
164;7.727;0.0;0.0;0.0;0.0;0
165;7.774;0.0;0.0;0.0;0.0;0
166;7.82;0.0;0.0;0.0;0.0;0
167;7.866;0.0;0.0;0.0;0.0;0
168;7.912;0.0;0.0;0.0;0.0;0
169;7.96;0.0;0.0;0.0;0.0;0
170;8.007;0.0;0.0;0.0;0.0;0
171;8.054;0.0;0.0;0.0;0.0;0
172;8.1;0.0;0.0;0.0;0.0;0
173;8.148;0.0;0.0;0.0;0.0;0
174;8.195;0.0;0.0;0.0;0.0;0
175;8.241;0.0;0.0;0.0;0.0;0
176;8.289;0.0;0.0;0.0;0.0;0
177;8.335;0.0;0.0;0.0;0.0;0
178;8.382;0.0;0.0;0.0;0.0;0
179;8.429;0.0;0.0;0.0;0.0;0
180;8.475;0.0;0.0;0.0;0.0;0
181;8.523;0.0;0.0;0.0;0.0;0
182;8.569;0.0;0.0;0.0;0.0;0
183;8.617;0.0;0.0;0.0;0.0;0
184;8.663;0.0;0.0;0.0;0.0;0
185;8.711;0.0;0.0;0.0;0.0;0
186;8.758;0.0;0.0;0.0;0.0;0
187;8.805;0.0;0.0;0.0;0.0;0
188;8.852;0.0;0.0;0.0;0.0;0
189;8.899;0.0;0.0;0.0;0.0;0
190;8.944;0.0;0.0;0.0;0.0;0
191;8.991;0.0;0.0;0.0;0.0;0
192;9.038;0.0;0.0;0.0;0.0;0
193;9.086;0.0;0.0;0.0;0.0;0
194;9.131;0.0;0.0;0.0;0.0;0
195;9.179;0.0;0.0;0.0;0.0;0
196;9.225;0.0;0.0;0.0;0.0;0
197;9.272;0.0;0.0;0.0;0.0;0
198;9.319;0.0;0.0;0.0;0.0;0
199;9.367;0.0;0.0;0.0;0.0;0
200;9.414;0.0;0.0;0.0;0.0;0
201;9.46;0.0;0.0;0.0;0.0;0
202;9.506;0.0;0.0;0.0;0.0;0
203;9.554;0.0;0.0;0.0;0.0;0
204;9.601;0.0;0.0;0.0;0.0;0
205;9.648;0.0;0.0;0.0;0.0;0
206;9.696;0.0;0.0;0.0;0.0;0
207;9.741;0.0;0.0;0.0;0.0;0
208;9.788;0.0;0.0;0.0;0.0;0
209;9.836;0.0;0.0;0.0;0.0;0
210;9.881;0.0;0.0;0.0;0.0;0
211;9.929;0.0;0.0;0.0;0.0;0
212;9.976;0.0;0.0;0.0;0.0;0
