Subject: 1_2
Session: 1
Group: 1
Time: 9.976430177688599
# Consecuences: 0
Distance: 64.221cm
Velocity: 6.437cm/seg
Mean Aceleration: 0.001m/seg

Frame;Time;X;Y;Aceleration;Distance;Consecuences
154;7.258;25.161;6.783;0.0;0.0;0
155;7.304;25.161;6.783;0.0;0.0;0
156;7.351;25.161;6.783;0.0;0.0;0
157;7.397;25.161;6.783;0.0;0.0;0
158;7.445;25.161;6.783;0.0;0.0;0
159;7.491;25.161;6.783;0.0;0.0;0
160;7.538;25.161;6.783;0.0;0.0;0
161;7.585;25.161;6.783;0.0;0.0;0
162;7.633;25.161;6.783;0.0;0.0;0
163;7.679;24.435;4.957;0.002;1.843;0
164;7.727;24.435;4.957;0.0;0.0;0
165;7.774;24.435;4.957;0.0;0.0;0
166;7.82;24.435;4.696;0.0;0.242;0
167;7.866;24.435;4.435;0.0;0.242;0
168;7.912;24.435;4.435;0.0;0.0;0
169;7.96;24.435;4.435;0.0;0.0;0
170;8.007;24.194;3.913;0.001;0.541;0
171;8.054;24.194;3.913;0.0;0.0;0
172;8.1;24.194;3.913;0.0;0.0;0
173;8.148;24.194;3.913;0.0;0.0;0
174;8.195;24.194;4.174;0.0;0.242;0
175;8.241;24.194;3.913;0.0;0.242;0
176;8.289;24.194;3.913;0.0;0.0;0
177;8.335;24.194;3.913;0.0;0.0;0
178;8.382;24.194;3.913;0.0;0.0;0
179;8.429;24.194;3.913;0.0;0.0;0
180;8.475;24.194;3.913;0.0;0.0;0
181;8.523;24.194;3.913;0.0;0.0;0
182;8.569;24.435;3.913;0.0;0.242;0
183;8.617;24.435;3.913;0.0;0.0;0
184;8.663;24.435;3.913;0.0;0.0;0
185;8.711;24.435;3.913;0.0;0.0;0
186;8.758;24.435;3.913;0.0;0.0;0
187;8.805;24.677;4.174;0.0;0.342;0
188;8.852;24.677;4.174;0.0;0.0;0
189;8.899;24.677;4.174;0.0;0.0;0
190;8.944;24.677;4.174;0.0;0.0;0
191;8.991;24.677;4.174;0.0;0.0;0
192;9.038;25.161;3.652;0.001;0.684;0
193;9.086;25.161;3.913;0.0;0.242;0
194;9.131;25.161;3.913;0.0;0.0;0
195;9.179;25.161;3.913;0.0;0.0;0
196;9.225;25.887;3.391;0.001;0.872;0
197;9.272;25.887;3.391;0.0;0.0;0
198;9.319;25.887;3.391;0.0;0.0;0
199;9.367;25.887;3.391;0.0;0.0;0
200;9.414;25.887;3.391;0.0;0.0;0
201;9.46;25.887;3.913;0.001;0.484;0
202;9.506;25.887;3.913;0.0;0.0;0
203;9.554;25.887;3.913;0.0;0.0;0
204;9.601;25.887;3.913;0.0;0.0;0
205;9.648;25.887;3.913;0.0;0.0;0
206;9.696;26.129;2.87;0.001;0.998;0
207;9.741;26.129;3.391;0.0;0.484;0
208;9.788;26.129;3.13;0.0;0.242;0
209;9.836;26.129;3.13;0.0;0.0;0
210;9.881;26.613;2.609;0.001;0.684;0
211;9.929;26.613;2.609;0.0;0.0;0
212;9.976;26.613;2.609;0.0;0.0;0
