Subject: 1_2
Session: 1
Group: 1
Time: 9.976430177688599
# Consecuences: 0
Distance: 64.221cm
Velocity: 6.437cm/seg
Mean Aceleration: 0.001m/seg

Frame;Time;X;Y;Aceleration;Distance;Consecuences
0;0.0;0.0;0.0;nan;0.0;0
1;0.038;13.548;23.217;6.698;25.44;0
2;0.085;14.032;23.478;0.064;0.541;0
3;0.133;14.032;23.478;0.0;0.0;0
4;0.18;14.516;23.478;0.027;0.484;0
5;0.225;14.516;23.478;0.0;0.0;0
6;0.273;14.758;23.478;0.009;0.242;0
7;0.319;15.0;23.478;0.008;0.242;0
8;0.367;15.0;23.739;0.007;0.242;0
9;0.413;15.242;23.739;0.006;0.242;0
10;0.461;15.484;24.0;0.007;0.342;0
11;0.508;15.484;24.0;0.0;0.0;0
12;0.555;15.726;24.261;0.006;0.342;0
13;0.601;15.968;24.261;0.004;0.242;0
14;0.647;16.21;24.522;0.005;0.342;0
15;0.695;16.452;24.522;0.003;0.242;0
16;0.741;16.452;24.261;0.003;0.242;0
17;0.788;16.694;24.522;0.004;0.342;0
18;0.835;16.935;24.522;0.003;0.242;0
19;0.883;16.935;24.783;0.003;0.242;0
20;0.93;17.419;24.783;0.005;0.484;0
21;0.977;17.419;24.522;0.002;0.242;0
22;1.024;17.661;24.783;0.003;0.342;0
23;1.07;17.903;24.522;0.003;0.342;0
24;1.116;17.903;24.522;0.0;0.0;0
25;1.164;18.145;24.522;0.002;0.242;0
26;1.209;18.629;24.783;0.004;0.541;0
27;1.256;18.387;24.522;0.003;0.342;0
28;1.303;18.629;24.522;0.002;0.242;0
29;1.351;19.113;24.522;0.004;0.484;0
30;1.398;19.113;24.522;0.0;0.0;0
31;1.444;19.113;24.522;0.0;0.0;0
32;1.492;19.355;24.522;0.002;0.242;0
33;1.538;19.597;24.522;0.002;0.242;0
34;1.585;19.839;24.522;0.002;0.242;0
35;1.632;19.839;24.261;0.001;0.242;0
36;1.678;20.081;24.261;0.001;0.242;0
37;1.726;20.081;24.261;0.0;0.0;0
38;1.773;20.565;24.261;0.003;0.484;0
39;1.819;20.565;24.261;0.0;0.0;0
40;1.867;21.048;24.0;0.003;0.541;0
41;1.914;21.048;24.0;0.0;0.0;0
42;1.96;21.048;24.0;0.0;0.0;0
43;2.006;21.048;24.0;0.0;0.0;0
44;2.053;21.048;24.0;0.0;0.0;0
45;2.101;21.048;24.0;0.0;0.0;0
46;2.148;21.048;24.0;0.0;0.0;0
47;2.194;22.5;23.739;0.007;1.472;0
48;2.242;22.5;23.739;0.0;0.0;0
49;2.289;22.5;23.739;0.0;0.0;0
50;2.336;22.5;23.739;0.0;0.0;0
51;2.383;22.5;23.739;0.0;0.0;0
52;2.428;22.5;23.739;0.0;0.0;0
53;2.476;22.5;23.739;0.0;0.0;0
54;2.523;22.5;23.739;0.0;0.0;0
55;2.569;22.5;23.739;0.0;0.0;0
56;2.616;22.5;23.739;0.0;0.0;0
57;2.664;22.5;23.739;0.0;0.0;0
58;2.711;22.5;23.739;0.0;0.0;0
59;2.758;22.5;23.739;0.0;0.0;0
60;2.804;22.5;23.739;0.0;0.0;0
61;2.851;22.5;23.739;0.0;0.0;0
62;2.898;24.194;21.913;0.008;2.395;0
63;2.944;24.435;21.652;0.001;0.342;0
64;2.991;24.435;21.652;0.0;0.0;0
65;3.038;24.677;21.391;0.001;0.342;0
66;3.084;24.677;21.391;0.0;0.0;0
67;3.148;24.677;21.391;0.0;0.0;0
68;3.195;24.677;21.391;0.0;0.0;0
69;3.242;25.161;20.609;0.003;0.872;0
70;3.288;25.161;20.609;0.0;0.0;0
71;3.335;25.161;20.609;0.0;0.0;0
72;3.381;25.161;20.609;0.0;0.0;0
73;3.428;25.645;20.087;0.002;0.684;0
74;3.476;25.887;19.565;0.002;0.541;0
75;3.523;25.887;19.565;0.0;0.0;0
76;3.569;25.887;19.304;0.001;0.242;0
77;3.616;25.887;19.304;0.0;0.0;0
78;3.663;25.887;19.043;0.001;0.242;0
79;3.711;25.887;19.043;0.0;0.0;0
80;3.757;25.887;18.783;0.001;0.242;0
81;3.805;26.129;18.522;0.001;0.342;0
82;3.851;26.129;18.522;0.0;0.0;0
83;3.897;26.371;18.0;0.001;0.541;0
84;3.961;26.371;18.0;0.0;0.0;0
85;4.007;26.371;18.0;0.0;0.0;0
86;4.054;26.371;18.0;0.0;0.0;0
87;4.102;26.371;17.217;0.002;0.726;0
88;4.148;26.613;16.957;0.001;0.342;0
89;4.194;26.613;16.957;0.0;0.0;0
90;4.241;26.613;16.957;0.0;0.0;0
91;4.288;26.613;16.174;0.002;0.726;0
92;4.336;26.613;16.174;0.0;0.0;0
93;4.383;26.855;15.913;0.001;0.342;0
94;4.429;26.855;15.913;0.0;0.0;0
95;4.475;26.855;15.652;0.001;0.242;0
96;4.523;26.613;15.391;0.001;0.342;0
97;4.57;26.613;15.391;0.0;0.0;0
98;4.617;26.613;15.391;0.0;0.0;0
99;4.663;26.613;15.13;0.001;0.242;0
100;4.71;26.613;14.609;0.001;0.484;0
101;4.757;26.855;14.609;0.001;0.242;0
102;4.803;26.613;14.348;0.001;0.342;0
103;4.851;26.613;14.348;0.0;0.0;0
104;4.897;26.613;14.348;0.0;0.0;0
105;4.945;26.613;14.348;0.0;0.0;0
106;4.991;26.855;13.565;0.002;0.765;0
107;5.038;26.855;13.565;0.0;0.0;0
108;5.085;26.613;13.565;0.0;0.242;0
109;5.132;26.613;13.565;0.0;0.0;0
110;5.18;26.613;13.304;0.0;0.242;0
111;5.226;26.613;12.783;0.001;0.484;0
112;5.273;26.613;12.783;0.0;0.0;0
113;5.32;26.613;12.783;0.0;0.0;0
114;5.366;26.613;12.783;0.0;0.0;0
115;5.412;26.613;12.261;0.001;0.484;0
116;5.459;26.613;12.261;0.0;0.0;0
117;5.506;26.613;12.261;0.0;0.0;0
118;5.553;26.613;11.739;0.001;0.484;0
119;5.6;26.613;11.739;0.0;0.0;0
120;5.647;26.613;11.739;0.0;0.0;0
121;5.695;26.613;11.739;0.0;0.0;0
122;5.741;26.613;10.957;0.001;0.726;0
123;5.789;26.613;10.957;0.0;0.0;0
124;5.834;26.613;10.957;0.0;0.0;0
125;5.882;26.613;10.696;0.0;0.242;0
126;5.929;26.613;10.696;0.0;0.0;0
127;5.977;26.613;10.174;0.001;0.484;0
128;6.022;26.613;10.174;0.0;0.0;0
129;6.07;26.613;9.913;0.0;0.242;0
130;6.116;26.613;9.913;0.0;0.0;0
131;6.179;26.371;9.652;0.001;0.342;0
132;6.227;26.371;9.652;0.0;0.0;0
133;6.273;26.371;9.13;0.001;0.484;0
134;6.32;26.371;8.87;0.0;0.242;0
135;6.366;26.371;8.87;0.0;0.0;0
136;6.414;26.371;8.87;0.0;0.0;0
137;6.46;26.371;8.87;0.0;0.0;0
138;6.508;26.129;8.609;0.001;0.342;0
139;6.554;26.129;8.348;0.0;0.242;0
140;6.601;26.129;8.348;0.0;0.0;0
141;6.647;26.129;8.348;0.0;0.0;0
142;6.694;25.887;8.087;0.001;0.342;0
143;6.741;25.887;8.087;0.0;0.0;0
144;6.789;25.887;8.087;0.0;0.0;0
145;6.835;25.645;7.565;0.001;0.541;0
146;6.883;25.645;7.565;0.0;0.0;0
147;6.929;25.645;7.565;0.0;0.0;0
148;6.976;25.645;7.565;0.0;0.0;0
149;7.022;25.645;7.565;0.0;0.0;0
150;7.07;25.645;7.565;0.0;0.0;0
151;7.117;25.645;7.565;0.0;0.0;0
152;7.164;25.161;6.783;0.001;0.872;0
153;7.211;25.161;6.783;0.0;0.0;0
